Time,Theta1,Theta2,Theta3,Theta4,Theta1_dot,Theta2_dot,Theta3_dot,Theta4_dot,Theta1_ddot,Theta2_ddot,Theta3_ddot,Theta4_ddot
4.0,0.0,-7.2041327459589795,-89.18598788625812,186.3901206322171,0.0,1.2783538974369435,-0.2736153581304279,-1.0047385393065156,0.0,-0.018062312226874155,0.046789342965780634,-0.028727030738195936
4.1000000000000005,0.0,-7.076297356215285,-89.21334942207116,186.28964677828645,0.0,1.276547666214256,-0.26893642383384986,-1.0076112423803352,0.0,-0.0181486526727781,0.04678786100527077,-0.028639208335334843
4.2,0.0,-6.9486425895938595,-89.24024306445455,186.18888565404842,0.0,1.2747328009469783,-0.2642576377333228,-1.0104751632138687,0.0,-0.01823527801718683,0.04678645506430712,-0.02855117704427812
4.3,0.0,-6.821169309499162,-89.26666882822788,186.08783813772703,0.0,1.2729092731452596,-0.25957899222689207,-1.0133302809182965,0.0,-0.018322183143482107,0.046785122481196595,-0.028462939337714488
4.4,0.0,-6.693878382184636,-89.29262672745057,185.9865051096352,0.0,1.2710770548309114,-0.2549004799787724,-1.016176574852068,0.0,-0.018409362969862286,0.04678386067524798,-0.028374497705385693
4.5,0.0,-6.566770676701545,-89.31811677544844,185.88488745215,0.0,1.2692361185339252,-0.2502220939112476,-1.0190140246226065,0.0,-0.018496812371893157,0.04678266708282308,-0.028285854713772096
4.6000000000000005,0.0,-6.439847064848152,-89.34313898483957,185.78298604968774,0.0,1.2673864372967358,-0.2455438272029653,-1.0218426100939837,0.0,-0.018584526245035704,0.046781539198548217,-0.028197012949249256
4.7,0.0,-6.3131084211184785,-89.36769336755987,185.68080178867834,0.0,1.2655279846722323,-0.24086567328311048,-1.0246623113889086,0.0,-0.018672499460592462,0.04678047454831358,-0.028107975091984372
4.800000000000001,0.0,-6.186555622651255,-89.39177993488818,185.57833555753945,0.0,1.263660734726173,-0.23618762582827912,-1.027473108898107,0.0,-0.018760726921840387,0.046779470747537744,-0.028018743822144643
4.9,0.0,-6.060189549178638,-89.415398697471,185.47558824664964,0.0,1.261784662033989,-0.23150967875352535,-1.0302749832803215,0.0,-0.0188492034816079,0.046778525401691695,-0.027929321922215422
5.0,0.0,-5.934011082975239,-89.43854966534636,185.3725607483216,0.0,1.2598997416858282,-0.22683182621335618,-1.033067915472543,0.0,-0.018937924046014132,0.04677763621998565,-0.027839712171839892
5.1000000000000005,0.0,-5.808021108806656,-89.4612328479677,185.26925395677435,0.0,1.2580059492812268,-0.22215406259135762,-1.035851886689727,0.0,-0.019026883460782074,0.046776800911629834,-0.02774991745297939
5.2,0.0,-5.6822205138785336,-89.48344825422683,185.16566876810538,0.0,1.2561032609351486,-0.21747638250019463,-1.038626878435025,0.0,-0.01911607661782,0.04677601726257308,-0.027659940644753078
5.300000000000001,0.0,-5.556610187785019,-89.50519589247685,185.06180608026187,0.0,1.2541916532733666,-0.21279878077393732,-1.0413928724995003,0.0,-0.01920549838487773,0.046775283087185926,-0.02756978470301874
5.4,0.0,-5.431191022457682,-89.52647577055424,184.95766679301192,0.0,1.2522711034348788,-0.20812125246521873,-1.0441498509698022,0.0,-0.01929514363254725,0.046774596272314284,-0.027479452637635404
5.5,0.0,-5.305963912114194,-89.54728789580076,184.85325180791494,0.0,1.250341589071624,-0.2034437928379873,-1.0468977962335657,0.0,-0.019385007236394358,0.04677395471901491,-0.027388947484041637
5.6000000000000005,0.0,-5.180929753207032,-89.56763227508456,184.7485620282916,0.0,1.2484030883479846,-0.1987663973660858,-1.0496366909819699,0.0,-0.019475084063458326,0.04677335640081992,-0.027298272334519424
5.7,0.0,-5.056089444372233,-89.58750891482117,184.6435983591934,0.0,1.2464555799416388,-0.19408906172600382,-1.0523665182154218,0.0,-0.01956536899143657,0.046772799322525316,-0.02720743033250983
5.800000000000001,0.0,-4.931443886378069,-89.60691782099377,184.53836170737185,0.0,1.2444990430424951,-0.1894117817937513,-1.0550872612486728,0.0,-0.019655856900868685,0.04677228156282354,-0.02711642466408648
5.9,0.0,-4.80699398207382,-89.62585899917315,184.43285298124698,0.0,1.2425334573524083,-0.18473455363746893,-1.0577989037150815,0.0,-0.01974654264529363,0.04677180118761726,-0.02702525854090254
6.0,0.0,-4.682740636338579,-89.6443324545369,184.32707309087547,0.0,1.240558803087879,-0.1800573735187072,-1.0605014295691717,0.0,-0.019837421131541078,0.04677135639354901,-0.026933935262718478
6.1000000000000005,0.0,-4.558684756029791,-89.66233819188876,184.22102294791856,0.0,1.2385750609747248,-0.1753802378793523,-1.0631948230954436,0.0,-0.019928487223808133,0.0467709453516818,-0.026842458126452584
6.2,0.0,-4.434827249932319,-89.6798762156767,184.114703465609,0.0,1.236582212252344,-0.17070314334418413,-1.0658790689080888,0.0,-0.020019735805476557,0.0467705663140805,-0.02675083050860394
6.300000000000001,0.0,-4.311169028707084,-89.69694653001112,184.0081155587182,0.0,1.2345802386717963,-0.16602608671277608,-1.0685541519589492,0.0,-0.02011116177342842,0.04677021758112687,-0.026659055808408993
6.4,0.0,-4.187711004839905,-89.7135491386824,183.9012601435223,0.0,1.2325691224944535,-0.1613490649546634,-1.07122005753979,0.0,-0.02020276001033494,0.0467698974830455,-0.0265671374734211
6.5,0.0,-4.064454092590459,-89.72968404517786,183.79413813776833,0.0,1.23054884649342,-0.15667207520635884,-1.0738767712871322,0.0,-0.020294525416630904,0.04676960441543088,-0.026475078996668344
6.6000000000000005,0.0,-3.9413992079411173,-89.7453512526985,183.68675046063962,0.0,1.228519393951757,-0.15199511476481575,-1.076524279186799,0.0,-0.020386452890619466,0.04676933680372031,-0.026382883916653554
6.7,0.0,-3.8185472685459416,-89.76055076417498,183.57909803272094,0.0,1.226480748662695,-0.14731818108444372,-1.0791625675784644,0.0,-0.02047853734978844,0.04676909313729993,-0.026290555786090408
6.800000000000001,0.0,-3.695899193679672,-89.77528258228342,183.4711817759631,0.0,1.2244328949277161,-0.14264127177071373,-1.0817916231570734,0.0,-0.02057077368462501,0.04676887193397761,-0.026198098248642054
6.9,0.0,-3.5734559041869005,-89.7895467094605,183.36300261364738,0.0,1.2223758175592536,-0.13796438457731597,-1.0844114329819377,0.0,-0.0206631568360649,0.04676867177551003,-0.02610551493944513
7.0,0.0,-3.451218322430975,-89.80334314791823,183.2545614703492,0.0,1.2203095018756471,-0.13328751739976497,-1.0870219844758822,0.0,-0.020755681715911578,0.046768491276338864,-0.0260128095590062
7.1000000000000005,0.0,-3.3291873722434104,-89.8166718996582,183.1458592719016,0.0,1.218233933704056,-0.12861066827213108,-1.0896232654317828,0.0,-0.02084834326581131,0.04676832911201245,-0.02591998584762223
7.2,0.0,-3.207363978873005,-89.82953296648542,183.03689694535842,0.0,1.2161490993774748,-0.12393383536092983,-1.092215264016545,0.0,-0.02094113642030493,0.0467681839907641,-0.025827047571169715
